site_code,Long,Lat,year,block,plot,trt,Family,Taxon,num_leaves,leaf_pct_N,leaf_pct_C,leaf_C13_delta_PDB,leaf_area_mm2,leaf_dry_mass_g,leaf_ppm_P,leaf_ppm_B,leaf_ppm_Na,leaf_ppm_Ca,leaf_ppm_Fe,leaf_ppm_K,leaf_ppm_Mg,leaf_ppm_Mn,leaf_ppm_Cu,leaf_ppm_Zn,leaf_ppm_Sr,leaf_ppm_Pb,leaf_ppm_Mo,SLA_v2,Ntrt,Ptrt,Ktrt,Nfix,first_nutrient_year,site_name,continent,country,region,habitat,lifespan,lifeform,photosynthetic_pathway,max_cover,live_mass,precip.mean,tmp,par2_gs,aridity
bldr.us,-105.233544,39.972022,2011,1,10,Control,Poaceae,BUCHLOE DACTYLOIDES,5,1.7975472,47.79552909,-15.66710053,240.693,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1203.465,0,0,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,5,138.5,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,2,11,N,Poaceae,BUCHLOE DACTYLOIDES,5,2.449464763,47.31602697,-15.7885746,629.071,0.07,1925.05146,23.326788,203.69538,3385.4598,193.04928,10977.312,1666.46952,31.536114,5.9145,24.864558,25.31406,0.47339658,0.44193144,3145.355,1,0,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,9,161,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,2,12,Control,Poaceae,BUCHLOE DACTYLOIDES,5,2.192957824,47.46934147,-15.64319877,473.355,0.06,1609.911135,19.4005803,152.328021,3140.07435,130.5160155,10727.994,1278.34017,21.48684285,5.9716002,26.819985,25.4196495,0.367647405,0.20459139,2366.775,0,0,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,12,52,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,2,13,K,Poaceae,BUCHLOE DACTYLOIDES,5,2.24599377,45.45120465,-17.66349053,361.441,0.04,3692.89375,28.7023065,48.678021,7549.4111,89.5157445,20777.92465,2281.6402,44.5192545,8.7947685,60.8816145,38.1106635,0.2817962,0.22543696,1807.205,0,0,1,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,7,166.5,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,2,14,P,Poaceae,BUCHLOE DACTYLOIDES,5,1.891377768,46.2984755,-15.17354549,541.638,0.06,6493.2945,28.820505,102.688964,6120.5956,110.513326,10609.1867,2160.26468,52.895465,5.0048138,46.784129,38.311595,0.31760428,0.22246189,2708.19,0,1,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,8,174,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,2,15,NPK+Fence,Poaceae,BUCHLOE DACTYLOIDES,5,2.050321172,45.78768871,-16.03518815,435.284,0.08,1297.86086,30.380338,141.668072,3626.4096,70.490626,10847.1772,1479.86816,121.544246,4.6268774,29.373002,22.619272,0.47436368,0.141874118,2176.42,1,1,1,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,5,317.5,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,2,16,PK,Poaceae,BUCHLOE DACTYLOIDES,5,1.684246959,45.72464218,-15.59337316,483.049,0.05,5299.5275,27.4578625,1366.72025,5123.48625,196.846125,11140.89625,2510.3025,37.3801875,5.6836175,41.015325,37.95175,0.34248025,0.283495,2415.245,0,1,1,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,13,228.5,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,2,17,NPK,Poaceae,BUCHLOE DACTYLOIDES,5,2.521488442,43.51865103,-15.5974366,599.482,0.08,3359.6668,27.678084,176.68714,4438.938,78.76939,12890.3278,1771.876085,27.56275865,7.1240603,29.7887555,30.3545025,0.19365955,1.317972915,2997.41,1,1,1,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,4,135,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,2,18,NK,Poaceae,BUCHLOE DACTYLOIDES,5,2.656930318,46.93478299,-16.13222466,331.034,0.03,1932.31395,32.657373,161.691075,7910.89425,166.7365875,13843.47825,2875.472775,33.389559,6.251742,36.8205075,48.06144,0.2572038,0.2487555,1655.17,1,0,1,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,4,117,448.5731709,10.59856789,978.2125854,0.2813
bldr.us,-105.233544,39.972022,2011,2,19,Fence,Poaceae,BUCHLOE DACTYLOIDES,5,1.88139172,47.84442533,-15.64942142,186.602,0.09,1621.9116,20.6135874,137.120904,3516.534,90.807912,9843.903,1179.11538,16.1664876,3.8610108,34.734744,24.149259,0.59398326,0.10717056,933.01,0,0,0,no,2009,Boulder South Campus,North America,US,Central plains (North America),shortgrass prairie,PERENNIAL,GRASS,C4,14,95,448.5731709,10.59856789,978.2125854,0.2813
