"","site_code","Long","Lat","year","block","plot","trt","Family","Taxon","num_leaves","leaf_pct_N","leaf_pct_C","leaf_C13_delta_PDB","leaf_area_mm2","leaf_dry_mass_g","leaf_ppm_P","leaf_ppm_B","leaf_ppm_Na","leaf_ppm_Ca","leaf_ppm_Fe","leaf_ppm_K","leaf_ppm_Mg","leaf_ppm_Mn","leaf_ppm_Cu","leaf_ppm_Zn","leaf_ppm_Sr","leaf_ppm_Pb","leaf_ppm_Mo","SLA_v2","Ntrt","Ptrt","Ktrt","Nfix","first_nutrient_year","site_name","continent","country","region","habitat","lifespan","lifeform","photosynthetic_pathway","max_cover","live_mass","precip.mean","tmp","par2_gs","aridity","Ntrt_fac","Ptrt_fac","Ktrt_fac","block_fac","trt_fac","sla_m2_g","lma","narea","nmass","spp_live_mass","delta","chi","fence","loglma","lognarea","lognmass","log_spp_live_mass"
"51","bnch.us",-121.9680169,44.27668543,2011,2,12,"P","Asteraceae","ACHILLEA MILLEFOLIUM",5,3.387594248,49.73943841,-31.33350631,4586.906,0.421,4222.04,32.2,29.96,9258.33,65.34,33675.79,2452.8,52.57,6.98,24.43,59.31,0.06,NA,22934.53,0,1,0,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","PERENNIAL","NULL","C3",15,148.15,864.192683,8.379287582,952.0361898,1.3455,"0","1","0","2","P",0.02293453,43.6023759806719,1.47707158071258,3.387594248,22.2225,24.0882764728594,0.871162675790238,"no",3.77511164383973,0.39006146595825,1.22012000810661,3.10110528913369
"52","bnch.us",-121.9680169,44.27668543,2011,2,15,"N","Asteraceae","ACHILLEA MILLEFOLIUM",5,4.213103492,48.0552959,-30.34017335,4939.809,0.406,1556.55,41.83,40.27,9905.32,151.91,39329.93,1888.46,121.53,7.83,40.37,90.11,0.06,NA,24699.045,1,0,0,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","PERENNIAL","NULL","C3",30,213.15,864.192683,8.379287582,952.0361898,1.3455,"1","0","0","2","N",0.024699045,40.4873953628572,1.70577586785238,4.213103492,63.945,23.039186254814,0.824742754637788,"no",3.70099070006329,0.534020061688474,1.43819954761328,4.15802333888528
"53","bnch.us",-121.9680169,44.27668543,2011,1,2,"K","Asteraceae","ERIGERON ALICEAE",5,2.745882231,49.46760938,-28.67885,3026.74,0.201,3093.92,31.33,29.92,12078.52,72.27,43583.73,2688.61,32.65,6.01,86.42,118.26,0.06,NA,15133.7,0,0,1,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","PERENNIAL","NULL","C3",30,211.900005,864.192683,8.379287582,952.0361898,1.3455,"0","0","1","1","K",0.0151337,66.0776941527848,1.81441566239584,2.745882231,63.5700015,21.2894056718522,0.747318835037708,"no",4.19083123382157,0.59576346678688,1.0101024189534,4.15214168454435
"54","bnch.us",-121.9680169,44.27668543,2011,1,5,"NPK","Asteraceae","ERIGERON ALICEAE",5,3.504971643,46.783829,-29.37289579,2096.72,0.102,3237.22,60.6,237.26,16148.68,179.55,37780.01,2692.16,70.22,9.29,65.41,126.11,0.07,NA,10483.6,1,1,1,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","PERENNIAL","NULL","C3",15,224.3,864.192683,8.379287582,952.0361898,1.3455,"1","1","1","1","NPK",0.0104836,95.38708077378,3.34329013220649,3.504971643,33.645,22.0196774820084,0.779631746991524,"no",4.55794314762541,1.20695539164892,1.2541824300116,3.51586445664028
"56","bnch.us",-121.9680169,44.27668543,2011,2,17,"NPK","Asteraceae","ERIGERON ALICEAE",5,3.161468955,48.85889088,-28.94347533,3855.205,0.227,1941.3,43.9,29.57,10786.14,52.81,40217.77,1655.79,25.17,6.94,44.52,118.71,0.04,NA,19276.025,1,1,1,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","PERENNIAL","NULL","C3",35,174.250005,864.192683,8.379287582,952.0361898,1.3455,"1","1","1","2","NPK",0.019276025,51.8779157009809,1.64010419938758,3.161468955,60.98750175,21.567720104777,0.759633632954733,"no",3.94889318325532,0.494759776029707,1.15103677876248,4.11066895383636
"58","bnch.us",-121.9680169,44.27668543,2011,1,3,"PK","Asteraceae","SYMPHYOTRICHUM SPATHULATUM",5,2.069631926,52.33669589,-28.42271771,1398.955,0.135,1633.64,28.76,11.85,7986.7,34.39,7929.38,2474.35,26.18,2.83,28.66,29.04,0.03,NA,6994.775,0,1,1,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","NULL","FORB","C3",NA,274.500005,864.192683,8.379287582,952.0361898,1.3455,"0","1","1","1","PK",0.006994775,142.963855163318,2.95882558910044,2.069631926,NA,21.0201680116108,0.735405664230566,"no",4.96259183721476,1.08479242916668,0.727370777940008,NA
"59","bnch.us",-121.9680169,44.27668543,2011,1,7,"Control","Asteraceae","SYMPHYOTRICHUM SPATHULATUM",5,2.529202452,47.98600264,-28.50148326,1783.453,0.138,1718.21,57.31,13.06,8085.69,59.81,13858.21,3261.37,28.24,3.54,32.51,57.41,0.04,NA,8917.265,0,0,0,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","NULL","FORB","C3",NA,96.45,864.192683,8.379287582,952.0361898,1.3455,"0","0","0","1","Control",0.008917265,112.142007667149,2.83629840763956,2.529202452,NA,21.1029485961498,0.739068521953531,"no",4.71976599375578,1.04249982444606,0.927904016678365,NA
"60","bnch.us",-121.9680169,44.27668543,2011,1,1,"NK","Cyperaceae","CAREX HOODII",5,2.812327972,51.30374535,-27.0384371,2148.118,0.212,674.41,15.67,39.08,2027.13,50.39,16762.83,837.17,114.03,2.9,37.23,19.88,0.05,NA,NA,1,0,1,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","NULL","NULL","C3",25,256.9,864.192683,8.379287582,952.0361898,1.3455,"1","0","1","1","NK",NA,NA,NA,2.812327972,64.225,19.5675120435942,0.67112885148647,"no",NA,NA,1.03401260014874,4.16239254299595
"61","bnch.us",-121.9680169,44.27668543,2011,1,4,"N","Cyperaceae","CAREX HOODII",5,3.266118975,56.56422081,-27.01027697,1367.03,0.123,832.69,11.87,18.74,1555.76,57.99,11756.59,768.16,85.83,2.24,33.77,15.65,0.05,NA,NA,1,0,0,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","NULL","NULL","C3",20,98.85,864.192683,8.379287582,952.0361898,1.3455,"1","0","0","1","N",NA,NA,NA,3.266118975,19.77,19.5380038658577,0.66982317990521,"no",NA,NA,1.1836024222375,2.98416563718253
"62","bnch.us",-121.9680169,44.27668543,2011,1,5,"NPK","Cyperaceae","CAREX HOODII",5,2.270875921,46.73472338,-27.55866451,2313.066,0.222,2760.24,17.87,20.01,2236.01,37.02,19150.53,898.68,80.03,2.98,45.15,16.9,0.02,NA,NA,1,1,1,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","NULL","NULL","C3",35,224.3,864.192683,8.379287582,952.0361898,1.3455,"1","1","1","1","NPK",NA,NA,NA,2.270875921,78.505,20.1129505669817,0.695263299423967,"no",NA,NA,0.82016562534723,4.36316231702749
"63","bnch.us",-121.9680169,44.27668543,2011,1,8,"P","Cyperaceae","CAREX HOODII",5,2.918135656,48.45093366,-27.56318296,2209.408,0.196,8916.22,24.44,36.43,6821.32,66.05,20835.48,1603.68,143.44,4.97,55.52,32.4,0.07,NA,NA,0,1,0,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","NULL","NULL","C3",35,113.55,864.192683,8.379287582,952.0361898,1.3455,"0","1","0","1","P",NA,NA,NA,2.918135656,39.7425,20.1176905452309,0.695473032974817,"no",NA,NA,1.07094493839628,3.68242114405289
"66","bnch.us",-121.9680169,44.27668543,2011,2,11,"PK","Cyperaceae","CAREX HOODII",5,2.844589765,47.75800439,-27.61183059,2062.126,0.169,2345.16,17.32,20.52,2083.42,45.02,21064.53,745.42,70.35,3.16,39.47,13.71,0.02,NA,NA,0,1,1,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","NULL","NULL","C3",45,172.649995,864.192683,8.379287582,952.0361898,1.3455,"0","1","1","2","PK",NA,NA,NA,2.844589765,77.69249775,20.168726036537,0.697731240554734,"no",NA,NA,1.0454188621021,4.3527586986579
"68","bnch.us",-121.9680169,44.27668543,2011,2,14,"K","Cyperaceae","CAREX HOODII",5,2.286837881,49.90594799,-27.34817913,1782.731,0.144,854.61,29.05,9.52,2825.31,61.11,16671.34,1122.11,164.31,4.11,69.73,20.34,0.05,NA,NA,0,0,1,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","NULL","NULL","C3",40,113,864.192683,8.379287582,952.0361898,1.3455,"0","0","1","2","K",NA,NA,NA,2.286837881,45.2,19.8921944264637,0.685495328604589,"no",NA,NA,0.827170025339572,3.81109708683819
"69","bnch.us",-121.9680169,44.27668543,2011,2,15,"N","Cyperaceae","CAREX HOODII",5,2.827449139,47.80193751,-27.50649224,1906.018,0.156,972.76,25.73,18.41,3158.86,75.31,20815.03,1108.74,153.76,3.92,38.18,26.46,0.05,NA,NA,1,0,0,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","NULL","NULL","C3",40,213.15,864.192683,8.379287582,952.0361898,1.3455,"1","0","0","2","N",NA,NA,NA,2.827449139,85.26,20.0582236121354,0.692841752749353,"no",NA,NA,1.03937494087111,4.44570541133706
"70","bnch.us",-121.9680169,44.27668543,2011,2,20,"Control","Cyperaceae","CAREX HOODII",5,2.458028003,48.86938764,-26.97005401,1595.153,0.15,1219.59,80.73,16.13,3877.71,63.64,15388.08,1309.62,128.92,3.42,36.01,28.95,0.06,NA,NA,0,0,0,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","NULL","NULL","C3",45,190.35,864.192683,8.379287582,952.0361898,1.3455,"0","0","0","2","Control",NA,NA,NA,2.458028003,85.6575,19.495858363022,0.667958334646992,"no",NA,NA,0.899359403674554,4.45035678661073
"71","bnch.us",-121.9680169,44.27668543,2011,3,21,"N","Cyperaceae","CAREX HOODII",5,4.885165307,47.90171338,-29.13093317,1725.303,0.135,972.74,53.19,10.57,2525,70.42,20174.37,1494.06,171.61,5.08,48.05,30.89,0.07,0.050871,NA,1,0,0,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","NULL","NULL","C3",70,192.65,864.192683,8.379287582,952.0361898,1.3455,"1","0","0","3","N",NA,NA,NA,4.885165307,134.855,21.7649669681978,0.76836137027424,"no",NA,NA,1.5862031246356,4.90420012713343
"72","bnch.us",-121.9680169,44.27668543,2011,3,22,"NP","Cyperaceae","CAREX HOODII",5,5.132467756,48.21179945,-28.74726298,2123.338,0.164,2275.1,54.27,38.93,5792.11,77.02,20768.11,1434.98,268.21,6.01,57.19,42.79,0.08,NA,NA,1,1,0,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","NULL","NULL","C3",35,199.800005,864.192683,8.379287582,952.0361898,1.3455,"1","1","0","3","NP",NA,NA,NA,5.132467756,69.93000175,21.3613431285216,0.750501908341665,"no",NA,NA,1.63558658757266,4.2474947667408
"73","bnch.us",-121.9680169,44.27668543,2011,3,23,"PK","Cyperaceae","CAREX HOODII",5,2.522103056,44.92038481,-27.40090083,2346.091,0.179,2074.73,44.1,50.77,5327.58,77.67,19652.61,1306.35,215.81,5.17,76.42,40.04,0.07,NA,NA,0,1,1,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","NULL","NULL","C3",80,279.050005,864.192683,8.379287582,952.0361898,1.3455,"0","1","1","3","PK",NA,NA,NA,2.522103056,223.240004,19.9474797442815,0.687941581605376,"no",NA,NA,0.925093099515162,5.40824744383817
"74","bnch.us",-121.9680169,44.27668543,2011,3,24,"NPK","Cyperaceae","CAREX HOODII",5,3.155307345,48.20386289,-28.59922724,2095.292,0.16,2261.22,31.64,75.1,4366.86,65.97,23255.33,1659.61,96.15,4.53,45.07,35.58,0.06,NA,NA,1,1,1,"no",2008,"Bunchgrass (Andrews LTER)","North America","US","Montane West (North America)","montane grassland","NULL","NULL","C3",95,371.899985,864.192683,8.379287582,952.0361898,1.3455,"1","1","1","3","NPK",NA,NA,NA,3.155307345,353.30498575,21.2056936926993,0.743614765163688,"no",NA,NA,1.14908590646257,5.86733166621005
