"","x"
"131","BNCH.US PHLOX DIFFUSA"
"132","BNCH.US PHLOX DIFFUSA"
"133","BNCH.US PHLOX DIFFUSA"
"134","BNCH.US PHLOX DIFFUSA"
"135","BNCH.US FRAGARIA VESCA"
"136","BNCH.US FRAGARIA VESCA"
"137","BOGONG.AU CHAEROPHYLLUM ERIOPODUM"
"138","BOGONG.AU TRACHYMENE HUMILIS SSP. BREVISCAPA"
"139","BOGONG.AU TRACHYMENE HUMILIS SSP. BREVISCAPA"
"140","BOGONG.AU TRACHYMENE HUMILIS SSP. BREVISCAPA"
"141","BOGONG.AU TRACHYMENE HUMILIS SSP. BREVISCAPA"
"142","BOGONG.AU TRACHYMENE HUMILIS SSP. BREVISCAPA"
"143","BOGONG.AU TRACHYMENE HUMILIS SSP. BREVISCAPA"
"144","BOGONG.AU TRACHYMENE HUMILIS SSP. BREVISCAPA"
"145","BOGONG.AU TRACHYMENE HUMILIS SSP. BREVISCAPA"
"146","BOGONG.AU TRACHYMENE HUMILIS SSP. BREVISCAPA"
"147","BOGONG.AU CELMISIA PUGIONIFORMIS"
"148","BOGONG.AU CRASPEDIA JAMESII"
"149","BOGONG.AU CRASPEDIA JAMESII"
"150","BOGONG.AU CRASPEDIA JAMESII"
"151","BOGONG.AU CRASPEDIA JAMESII"
"152","BOGONG.AU CRASPEDIA JAMESII"
"153","BOGONG.AU CRASPEDIA JAMESII"
"154","BOGONG.AU CRASPEDIA JAMESII"
"155","BOGONG.AU CRASPEDIA JAMESII"
"156","BOGONG.AU CRASPEDIA JAMESII"
"157","BOGONG.AU CRASPEDIA JAMESII"
"158","BOGONG.AU CRASPEDIA JAMESII"
"159","BOGONG.AU CRASPEDIA JAMESII"
"160","BOGONG.AU CRASPEDIA JAMESII"
"161","BOGONG.AU CRASPEDIA JAMESII"
"162","BOGONG.AU CRASPEDIA JAMESII"
"163","BOGONG.AU CRASPEDIA JAMESII"
"164","BOGONG.AU CRASPEDIA JAMESII"
"165","BOGONG.AU CRASPEDIA JAMESII"
"166","BOGONG.AU CRASPEDIA JAMESII"
"167","BOGONG.AU CRASPEDIA JAMESII"
"168","BOGONG.AU CRASPEDIA JAMESII"
"169","BOGONG.AU HYPOCHAERIS RADICATA"
"170","BOGONG.AU HYPOCHAERIS RADICATA"
"171","BOGONG.AU HYPOCHAERIS RADICATA"
"172","BOGONG.AU HYPOCHAERIS RADICATA"
"173","BOGONG.AU HYPOCHAERIS RADICATA"
"174","BOGONG.AU HYPOCHAERIS RADICATA"
"175","BOGONG.AU HYPOCHAERIS RADICATA"
"176","BOGONG.AU HYPOCHAERIS RADICATA"
"177","BOGONG.AU HYPOCHAERIS RADICATA"
"178","BOGONG.AU HYPOCHAERIS RADICATA"
"179","BOGONG.AU COLOBANTHUS AFFINIS"
"180","BOGONG.AU CAREX BREVICULMIS"
"181","BOGONG.AU PLANTAGO EURYPHYLLA"
"182","BOGONG.AU PLANTAGO EURYPHYLLA"
"183","BOGONG.AU PLANTAGO EURYPHYLLA"
"184","BOGONG.AU PLANTAGO EURYPHYLLA"
"185","BOGONG.AU PLANTAGO EURYPHYLLA"
"186","BOGONG.AU PLANTAGO EURYPHYLLA"
"187","BOGONG.AU PLANTAGO EURYPHYLLA"
"188","BOGONG.AU PLANTAGO EURYPHYLLA"
"189","BOGONG.AU PLANTAGO EURYPHYLLA"
