"","x"
"528","COMP.PT PLANTAGO BELLARDII"
"529","COMP.PT PLANTAGO BELLARDII"
"530","COMP.PT PLANTAGO BELLARDII"
"531","COMP.PT PLANTAGO BELLARDII"
"532","COMP.PT PLANTAGO BELLARDII"
"533","COMP.PT PLANTAGO BELLARDII"
"534","COMP.PT PLANTAGO BELLARDII"
"535","COMP.PT PLANTAGO BELLARDII"
"536","COMP.PT PLANTAGO BELLARDII"
"537","COMP.PT PLANTAGO BELLARDII"
"538","COMP.PT AGROSTIS POURRETII"
"539","COMP.PT AGROSTIS POURRETII"
"540","COMP.PT AGROSTIS POURRETII"
"541","COMP.PT AVENA BARBATA"
"542","COMP.PT AVENA BARBATA"
"543","COMP.PT AVENA BARBATA"
"544","COMP.PT AVENA BARBATA"
"545","COMP.PT AVENA BARBATA"
"546","COMP.PT AVENA BARBATA"
"547","COMP.PT AVENA BARBATA"
"548","COMP.PT AVENA BARBATA"
"549","COMP.PT AVENA BARBATA"
"550","COMP.PT AVENA BARBATA"
"551","COMP.PT AVENA BARBATA"
"552","COMP.PT AVENA BARBATA"
"553","COMP.PT AVENA BARBATA"
"554","COMP.PT AVENA BARBATA"
"555","COMP.PT AVENA BARBATA"
"556","COMP.PT AVENA BARBATA"
"557","COMP.PT AVENA BARBATA"
"558","COMP.PT AVENA BARBATA"
"559","COMP.PT AVENA BARBATA"
"560","COMP.PT AVENA BARBATA"
"561","COMP.PT AVENA BARBATA"
"562","COMP.PT AVENA BARBATA"
"563","COMP.PT AVENA BARBATA"
"564","COMP.PT AVENA BARBATA"
"565","COMP.PT AVENA BARBATA"
"566","COMP.PT AVENA BARBATA"
"567","COMP.PT BRIZA MAXIMA"
"568","COMP.PT GAUDINIA FRAGILIS"
"569","COMP.PT RUMEX ACETOSELLA"
"570","COMP.PT RUMEX ACETOSELLA"
"571","COMP.PT RUMEX ACETOSELLA"
"572","COMP.PT RUMEX ACETOSELLA"
"573","COMP.PT RUMEX ACETOSELLA"
"574","COMP.PT RUMEX ACETOSELLA"
"575","COMP.PT RUMEX ACETOSELLA"
"576","COMP.PT RUMEX ACETOSELLA"
"577","COMP.PT RUMEX ACETOSELLA"
"578","COMP.PT RUMEX ACETOSELLA"
"579","COMP.PT RUMEX ACETOSELLA"
"580","COMP.PT RUMEX ACETOSELLA"
"581","COMP.PT RUMEX ACETOSELLA"
"582","COMP.PT RUMEX ACETOSELLA"
"583","COMP.PT RUMEX ACETOSELLA"
"584","COMP.PT RUMEX ACETOSELLA"
"585","COMP.PT RUMEX ACETOSELLA"
"586","COMP.PT RUMEX ACETOSELLA"
"587","COMP.PT RUMEX ACETOSELLA"
"588","COMP.PT RUMEX BUCEPHALOPHORUS"
"589","COWI.CA LATHYRUS SPHAERICUS"
"590","COWI.CA LATHYRUS SPHAERICUS"
"591","COWI.CA LATHYRUS SPHAERICUS"
"592","COWI.CA TRIFOLIUM DUBIUM"
"593","COWI.CA TRIFOLIUM DUBIUM"
"594","COWI.CA TRIFOLIUM DUBIUM"
"595","COWI.CA VICIA HIRSUTA"
"596","COWI.CA VICIA HIRSUTA"
"597","COWI.CA VICIA HIRSUTA"
"598","COWI.CA VICIA HIRSUTA"
"599","COWI.CA VICIA HIRSUTA"
"600","COWI.CA VICIA HIRSUTA"
"601","COWI.CA VICIA HIRSUTA"
"602","COWI.CA VICIA HIRSUTA"
"603","COWI.CA VICIA HIRSUTA"
"604","COWI.CA VICIA HIRSUTA"
"605","COWI.CA VICIA HIRSUTA"
"606","COWI.CA VICIA HIRSUTA"
"607","COWI.CA VICIA HIRSUTA"
"608","COWI.CA VICIA HIRSUTA"
"609","COWI.CA VICIA HIRSUTA"
"610","COWI.CA VICIA HIRSUTA"
"611","COWI.CA VICIA HIRSUTA"
"612","COWI.CA VICIA HIRSUTA"
"613","COWI.CA VICIA HIRSUTA"
"614","COWI.CA VICIA SATIVA"
"615","COWI.CA VICIA SATIVA"
"616","COWI.CA VICIA SATIVA"
"617","COWI.CA VICIA SATIVA"
"618","COWI.CA VICIA SATIVA"
"619","COWI.CA VICIA SATIVA"
"620","COWI.CA VICIA SATIVA"
"621","COWI.CA VICIA SATIVA"
"622","COWI.CA VICIA SATIVA"
"623","COWI.CA VICIA SATIVA"
"624","COWI.CA VICIA SATIVA"
"625","COWI.CA VICIA SATIVA"
"626","COWI.CA VICIA SATIVA"
"627","COWI.CA VICIA SATIVA"
"628","COWI.CA VICIA SATIVA"
"629","COWI.CA VICIA SATIVA"
"630","COWI.CA VICIA SATIVA"
"631","COWI.CA VICIA SATIVA"
"632","COWI.CA VICIA SATIVA"
"633","COWI.CA VICIA SATIVA"
"634","COWI.CA VICIA SATIVA"
"635","COWI.CA VICIA SATIVA"
"636","COWI.CA VICIA SATIVA"
"637","COWI.CA VICIA SATIVA"
"638","COWI.CA PLANTAGO LANCEOLATA"
"639","COWI.CA ALOPECURUS PRATENSIS"
"640","COWI.CA ALOPECURUS PRATENSIS"
"641","COWI.CA ALOPECURUS PRATENSIS"
"642","COWI.CA ALOPECURUS PRATENSIS"
"643","COWI.CA ALOPECURUS PRATENSIS"
"644","COWI.CA ALOPECURUS PRATENSIS"
"645","COWI.CA ALOPECURUS PRATENSIS"
"646","COWI.CA ALOPECURUS PRATENSIS"
"647","COWI.CA ALOPECURUS PRATENSIS"
"648","COWI.CA ALOPECURUS PRATENSIS"
"649","COWI.CA ALOPECURUS PRATENSIS"
"650","COWI.CA ALOPECURUS PRATENSIS"
"651","COWI.CA ALOPECURUS PRATENSIS"
"652","COWI.CA ALOPECURUS PRATENSIS"
"653","COWI.CA ALOPECURUS PRATENSIS"
"654","COWI.CA ALOPECURUS PRATENSIS"
"655","COWI.CA ALOPECURUS PRATENSIS"
"656","COWI.CA ALOPECURUS PRATENSIS"
"657","COWI.CA ALOPECURUS PRATENSIS"
"658","COWI.CA ALOPECURUS PRATENSIS"
"659","COWI.CA ALOPECURUS PRATENSIS"
"660","COWI.CA ALOPECURUS PRATENSIS"
"661","COWI.CA ALOPECURUS PRATENSIS"
"662","COWI.CA ALOPECURUS PRATENSIS"
"663","COWI.CA ALOPECURUS PRATENSIS"
"664","COWI.CA ALOPECURUS PRATENSIS"
"665","COWI.CA ALOPECURUS PRATENSIS"
"666","COWI.CA ALOPECURUS PRATENSIS"
"667","COWI.CA ALOPECURUS PRATENSIS"
"668","COWI.CA ALOPECURUS PRATENSIS"
"669","COWI.CA POA PRATENSIS"
"670","COWI.CA POA PRATENSIS"
"671","ELLIOT.US ERODIUM BOTRYS"
"672","ELLIOT.US ERODIUM BOTRYS"
"673","ELLIOT.US ERODIUM BOTRYS"
"674","ELLIOT.US ERODIUM BOTRYS"
"675","ELLIOT.US ERODIUM BOTRYS"
"676","ELLIOT.US ERODIUM BOTRYS"
"677","ELLIOT.US ERODIUM BOTRYS"
"678","ELLIOT.US ERODIUM BOTRYS"
"679","ELLIOT.US ERODIUM BOTRYS"
"680","ELLIOT.US ERODIUM BOTRYS"
"681","ELLIOT.US ERODIUM BOTRYS"
"682","ELLIOT.US ERODIUM BOTRYS"
"683","ELLIOT.US ERODIUM BOTRYS"
"684","ELLIOT.US ERODIUM BOTRYS"
"685","ELLIOT.US ERODIUM BOTRYS"
"686","ELLIOT.US ERODIUM BOTRYS"
"687","ELLIOT.US ERODIUM BOTRYS"
"688","ELLIOT.US ERODIUM BOTRYS"
"689","ELLIOT.US ERODIUM BOTRYS"
"690","ELLIOT.US ERODIUM BOTRYS"
"691","ELLIOT.US ERODIUM BOTRYS"
"692","ELLIOT.US ERODIUM BOTRYS"
"693","ELLIOT.US ERODIUM BOTRYS"
"694","ELLIOT.US ERODIUM BOTRYS"
"695","ELLIOT.US ERODIUM BOTRYS"
"696","ELLIOT.US ERODIUM BOTRYS"
"697","ELLIOT.US ERODIUM BOTRYS"
"698","ELLIOT.US LOLIUM MULTIFLORUM"
"699","ELLIOT.US LOLIUM MULTIFLORUM"
"700","ELLIOT.US LOLIUM MULTIFLORUM"
"701","ELLIOT.US LOLIUM MULTIFLORUM"
"702","ELLIOT.US LOLIUM MULTIFLORUM"
"703","ELLIOT.US LOLIUM MULTIFLORUM"
"704","ELLIOT.US LOLIUM MULTIFLORUM"
"705","ELLIOT.US LOLIUM MULTIFLORUM"
"706","ELLIOT.US LOLIUM MULTIFLORUM"
"707","ELLIOT.US LOLIUM MULTIFLORUM"
"708","ELLIOT.US LOLIUM MULTIFLORUM"
"709","ELLIOT.US LOLIUM MULTIFLORUM"
"710","ELLIOT.US LOLIUM MULTIFLORUM"
"711","ELLIOT.US LOLIUM MULTIFLORUM"
"712","ELLIOT.US LOLIUM MULTIFLORUM"
"713","ELLIOT.US LOLIUM MULTIFLORUM"
"714","ELLIOT.US LOLIUM MULTIFLORUM"
"715","ELLIOT.US LOLIUM MULTIFLORUM"
"716","ELLIOT.US LOLIUM MULTIFLORUM"
"717","ELLIOT.US LOLIUM MULTIFLORUM"
"718","ELLIOT.US LOLIUM MULTIFLORUM"
"719","ELLIOT.US LOLIUM MULTIFLORUM"
"720","ELLIOT.US LOLIUM MULTIFLORUM"
"721","ELLIOT.US LOLIUM MULTIFLORUM"
"722","ELLIOT.US LOLIUM MULTIFLORUM"
"723","ELLIOT.US NASSELLA PULCHRA"
"724","ELLIOT.US NASSELLA PULCHRA"
"725","ELLIOT.US NASSELLA PULCHRA"
"726","ELLIOT.US NASSELLA PULCHRA"
"727","ELLIOT.US NASSELLA PULCHRA"
"728","ELLIOT.US NASSELLA PULCHRA"
"729","ELLIOT.US NASSELLA PULCHRA"
"730","ELLIOT.US NASSELLA PULCHRA"
"731","ELLIOT.US NASSELLA PULCHRA"
"732","ELLIOT.US NASSELLA PULCHRA"
"733","ELLIOT.US NASSELLA PULCHRA"
"734","ELLIOT.US NASSELLA PULCHRA"
"735","ELLIOT.US NASSELLA PULCHRA"
"736","ELLIOT.US NASSELLA PULCHRA"
"737","ELLIOT.US NASSELLA PULCHRA"
"738","ELLIOT.US NASSELLA PULCHRA"
"739","ELLIOT.US NASSELLA PULCHRA"
"740","ELLIOT.US NASSELLA PULCHRA"
"741","ELLIOT.US NASSELLA PULCHRA"
"742","ELLIOT.US NASSELLA PULCHRA"
"743","ELLIOT.US NASSELLA PULCHRA"
"744","ELLIOT.US NASSELLA PULCHRA"
"745","ELLIOT.US NASSELLA PULCHRA"
"746","ELLIOT.US NASSELLA PULCHRA"
"747","ELLIOT.US NASSELLA PULCHRA"
"748","ELLIOT.US NASSELLA PULCHRA"
"749","ELLIOT.US NASSELLA PULCHRA"
"750","ELLIOT.US NASSELLA PULCHRA"
"751","ELLIOT.US NASSELLA PULCHRA"
"752","FRUE.CH ALOPECURUS PRATENSIS"
"753","FRUE.CH ALOPECURUS PRATENSIS"
"754","FRUE.CH ALOPECURUS PRATENSIS"
"755","FRUE.CH ALOPECURUS PRATENSIS"
"756","FRUE.CH ALOPECURUS PRATENSIS"
"757","FRUE.CH ALOPECURUS PRATENSIS"
"758","FRUE.CH ALOPECURUS PRATENSIS"
"759","FRUE.CH ALOPECURUS PRATENSIS"
"760","FRUE.CH ALOPECURUS PRATENSIS"
"761","FRUE.CH ALOPECURUS PRATENSIS"
"762","FRUE.CH ALOPECURUS PRATENSIS"
"763","FRUE.CH ALOPECURUS PRATENSIS"
"764","FRUE.CH ALOPECURUS PRATENSIS"
"765","FRUE.CH ALOPECURUS PRATENSIS"
"766","FRUE.CH ALOPECURUS PRATENSIS"
"767","FRUE.CH ALOPECURUS PRATENSIS"
"768","FRUE.CH ALOPECURUS PRATENSIS"
"769","FRUE.CH ALOPECURUS PRATENSIS"
"770","FRUE.CH ALOPECURUS PRATENSIS"
"771","FRUE.CH ALOPECURUS PRATENSIS"
"772","FRUE.CH ALOPECURUS PRATENSIS"
"773","FRUE.CH ALOPECURUS PRATENSIS"
"774","FRUE.CH ALOPECURUS PRATENSIS"
"775","FRUE.CH ALOPECURUS PRATENSIS"
"776","FRUE.CH ALOPECURUS PRATENSIS"
"777","FRUE.CH ALOPECURUS PRATENSIS"
"778","FRUE.CH DACTYLIS GLOMERATA"
"779","FRUE.CH DACTYLIS GLOMERATA"
"780","FRUE.CH DACTYLIS GLOMERATA"
"781","FRUE.CH DACTYLIS GLOMERATA"
"782","FRUE.CH DACTYLIS GLOMERATA"
"783","FRUE.CH DACTYLIS GLOMERATA"
"784","FRUE.CH DACTYLIS GLOMERATA"
"785","FRUE.CH DACTYLIS GLOMERATA"
"786","FRUE.CH DACTYLIS GLOMERATA"
"787","FRUE.CH DACTYLIS GLOMERATA"
"788","FRUE.CH DACTYLIS GLOMERATA"
"789","FRUE.CH DACTYLIS GLOMERATA"
"790","FRUE.CH DACTYLIS GLOMERATA"
"791","FRUE.CH DACTYLIS GLOMERATA"
"792","FRUE.CH DACTYLIS GLOMERATA"
"793","FRUE.CH DACTYLIS GLOMERATA"
"794","FRUE.CH DACTYLIS GLOMERATA"
"795","FRUE.CH DACTYLIS GLOMERATA"
"796","FRUE.CH DACTYLIS GLOMERATA"
"797","FRUE.CH DACTYLIS GLOMERATA"
"798","FRUE.CH DACTYLIS GLOMERATA"
"799","FRUE.CH HOLCUS LANATUS"
"800","FRUE.CH HOLCUS LANATUS"
"801","FRUE.CH HOLCUS LANATUS"
"802","FRUE.CH HOLCUS LANATUS"
"803","FRUE.CH HOLCUS LANATUS"
"804","FRUE.CH HOLCUS LANATUS"
"805","FRUE.CH HOLCUS LANATUS"
"806","FRUE.CH HOLCUS LANATUS"
"807","FRUE.CH HOLCUS LANATUS"
"808","FRUE.CH HOLCUS LANATUS"
"809","FRUE.CH HOLCUS LANATUS"
"810","FRUE.CH HOLCUS LANATUS"
"811","FRUE.CH HOLCUS LANATUS"
"812","FRUE.CH LOLIUM PERENNE"
"813","FRUE.CH LOLIUM PERENNE"
"814","FRUE.CH PHLEUM PRATENSE"
"815","FRUE.CH PHLEUM PRATENSE"
"816","FRUE.CH PHLEUM PRATENSE"
"817","FRUE.CH PHLEUM PRATENSE"
"818","FRUE.CH PHLEUM PRATENSE"
"819","FRUE.CH PHLEUM PRATENSE"
"820","FRUE.CH PHLEUM PRATENSE"
"821","FRUE.CH PHLEUM PRATENSE"
"822","FRUE.CH PHLEUM PRATENSE"
"823","FRUE.CH PHLEUM PRATENSE"
"824","FRUE.CH PHLEUM PRATENSE"
"825","FRUE.CH PHLEUM PRATENSE"
"826","FRUE.CH PHLEUM PRATENSE"
"827","FRUE.CH PHLEUM PRATENSE"
"828","FRUE.CH PHLEUM PRATENSE"
"829","FRUE.CH PHLEUM PRATENSE"
"830","FRUE.CH PHLEUM PRATENSE"
"831","FRUE.CH PHLEUM PRATENSE"
"832","FRUE.CH POA TRIVIALIS"
"833","FRUE.CH POA TRIVIALIS"
"834","FRUE.CH POA TRIVIALIS"
"835","FRUE.CH POA TRIVIALIS"
"836","FRUE.CH POA TRIVIALIS"
"837","FRUE.CH POA TRIVIALIS"
"838","FRUE.CH POA TRIVIALIS"
"839","FRUE.CH RUMEX ACETOSA"
"840","FRUE.CH RANUNCULUS REPENS"
"841","FRUE.CH VERONICA CHAMAEDRYS"
"842","FRUE.CH VERONICA CHAMAEDRYS"
"843","FRUE.CH VERONICA FILIFORMIS"
"844","FRUE.CH VERONICA FILIFORMIS"
"845","GILB.ZA ERIOSEMA DISTINCTUM"
"846","GILB.ZA ERIOSEMA DISTINCTUM"
"847","GILB.ZA ERIOSEMA DISTINCTUM"
"848","GILB.ZA ERIOSEMA DISTINCTUM"
"849","GILB.ZA ERIOSEMA DISTINCTUM"
"850","GILB.ZA ERIOSEMA DISTINCTUM"
"851","GILB.ZA ERIOSEMA DISTINCTUM"
"852","GILB.ZA ERIOSEMA DISTINCTUM"
"853","GILB.ZA ERIOSEMA DISTINCTUM"
"854","GILB.ZA ERIOSEMA DISTINCTUM"
"855","GILB.ZA ERIOSEMA DISTINCTUM"
"856","GILB.ZA ERIOSEMA DISTINCTUM"
"857","GILB.ZA ERIOSEMA DISTINCTUM"
"858","GILB.ZA ERIOSEMA DISTINCTUM"
"859","GILB.ZA ERIOSEMA DISTINCTUM"
"860","GILB.ZA ERIOSEMA DISTINCTUM"
"861","GILB.ZA ERIOSEMA DISTINCTUM"
"862","GILB.ZA ERIOSEMA DISTINCTUM"
"863","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"864","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"865","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"866","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"867","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"868","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"869","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"870","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"871","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"872","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"873","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"874","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"875","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"876","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"877","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"878","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"879","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"880","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"881","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"882","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"883","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"884","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"885","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"886","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"887","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"888","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"889","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"890","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"891","GILB.ZA DIHETEROPOGON FILIFOLIUS"
"892","GILB.ZA ERAGROSTIS RACEMOSA"
"893","GILB.ZA ERAGROSTIS RACEMOSA"
"894","GILB.ZA ERAGROSTIS RACEMOSA"
"895","GILB.ZA HETEROPOGON CONTORTUS"
"896","GILB.ZA HETEROPOGON CONTORTUS"
"897","GILB.ZA HETEROPOGON CONTORTUS"
"898","GILB.ZA HETEROPOGON CONTORTUS"
"899","GILB.ZA HETEROPOGON CONTORTUS"
"900","GILB.ZA HETEROPOGON CONTORTUS"
"901","GILB.ZA HETEROPOGON CONTORTUS"
"902","GILB.ZA HETEROPOGON CONTORTUS"
"903","GILB.ZA HETEROPOGON CONTORTUS"
"904","GILB.ZA HETEROPOGON CONTORTUS"
"905","GILB.ZA HETEROPOGON CONTORTUS"
"906","GILB.ZA HETEROPOGON CONTORTUS"
"907","GILB.ZA HETEROPOGON CONTORTUS"
"908","GILB.ZA HETEROPOGON CONTORTUS"
"909","GILB.ZA HETEROPOGON CONTORTUS"
"910","GILB.ZA HETEROPOGON CONTORTUS"
"911","GILB.ZA HETEROPOGON CONTORTUS"
"912","GILB.ZA HETEROPOGON CONTORTUS"
"913","GILB.ZA HETEROPOGON CONTORTUS"
"914","GILB.ZA HETEROPOGON CONTORTUS"
"915","GILB.ZA HETEROPOGON CONTORTUS"
"916","GILB.ZA HETEROPOGON CONTORTUS"
"917","GILB.ZA HETEROPOGON CONTORTUS"
"918","GILB.ZA HETEROPOGON CONTORTUS"
"919","GILB.ZA HETEROPOGON CONTORTUS"
"920","GILB.ZA HETEROPOGON CONTORTUS"
"921","GILB.ZA HETEROPOGON CONTORTUS"
"922","GILB.ZA HETEROPOGON CONTORTUS"
"923","GILB.ZA HETEROPOGON CONTORTUS"
"924","GILB.ZA HETEROPOGON CONTORTUS"
"925","GILB.ZA LOUDETIA SIMPLEX"
"926","GILB.ZA PANICUM ECKLONII"
"927","GILB.ZA TRACHYPOGON SPICATUS"
"928","GILB.ZA TRACHYPOGON SPICATUS"
"929","GILB.ZA TRACHYPOGON SPICATUS"
"930","GILB.ZA PROTEA SIMPLEX"
"931","GILB.ZA PROTEA SIMPLEX"
"932","GILB.ZA PROTEA SIMPLEX"
"933","GILB.ZA PROTEA SIMPLEX"
"934","GILB.ZA PROTEA SIMPLEX"
"935","GILB.ZA PROTEA SIMPLEX"
"936","GILB.ZA PROTEA SIMPLEX"
"937","GILB.ZA PROTEA SIMPLEX"
"938","GILB.ZA PROTEA SIMPLEX"
"939","HOPL.US TORILIS ARVENSIS"
"940","HOPL.US CARDUUS PYCNOCEPHALUS"
"941","HOPL.US CARDUUS PYCNOCEPHALUS"
"942","HOPL.US CARDUUS PYCNOCEPHALUS"
"943","HOPL.US MICROPUS CALIFORNICUS"
"944","HOPL.US AMSINCKIA MENZIESII"
"945","HOPL.US LATHYRUS SPHAERICUS"
"946","HOPL.US LATHYRUS SPHAERICUS"
"947","HOPL.US TRIFOLIUM DUBIUM"
"948","HOPL.US VICIA SATIVA"
"949","HOPL.US GERANIUM DISSECTUM"
"950","HOPL.US GERANIUM DISSECTUM"
"951","HOPL.US GERANIUM MOLLE"
"952","HOPL.US SISYRINCHIUM BELLUM"
"953","HOPL.US AIRA CARYOPHYLLEA"
"954","HOPL.US AVENA BARBATA"
"955","HOPL.US AVENA BARBATA"
"956","HOPL.US AVENA BARBATA"
"957","HOPL.US AVENA BARBATA"
"958","HOPL.US AVENA BARBATA"
"959","HOPL.US AVENA BARBATA"
"960","HOPL.US BRIZA MAXIMA"
"961","HOPL.US BRIZA MAXIMA"
"962","HOPL.US BRIZA MAXIMA"
"963","HOPL.US BRIZA MAXIMA"
"964","HOPL.US BRIZA MAXIMA"
"965","HOPL.US BRIZA MAXIMA"
"966","HOPL.US BRIZA MAXIMA"
"967","HOPL.US BRIZA MAXIMA"
"968","HOPL.US BRIZA MAXIMA"
"969","HOPL.US BRIZA MAXIMA"
"970","HOPL.US BRIZA MAXIMA"
"971","HOPL.US BRIZA MAXIMA"
"972","HOPL.US BRIZA MAXIMA"
"973","HOPL.US BROMUS DIANDRUS"
"974","HOPL.US BROMUS DIANDRUS"
"975","HOPL.US BROMUS DIANDRUS"
"976","HOPL.US BROMUS DIANDRUS"
"977","HOPL.US BROMUS DIANDRUS"
"978","HOPL.US BROMUS DIANDRUS"
"979","HOPL.US BROMUS DIANDRUS"
"980","HOPL.US BROMUS DIANDRUS"
"981","HOPL.US BROMUS DIANDRUS"
"982","HOPL.US BROMUS DIANDRUS"
"983","HOPL.US BROMUS DIANDRUS"
"984","HOPL.US BROMUS DIANDRUS"
"985","HOPL.US BROMUS HORDEACEUS"
"986","HOPL.US BROMUS HORDEACEUS"
"987","HOPL.US BROMUS HORDEACEUS"
"988","HOPL.US BROMUS HORDEACEUS"
"989","HOPL.US BROMUS HORDEACEUS"
"990","HOPL.US BROMUS HORDEACEUS"
"991","HOPL.US BROMUS HORDEACEUS"
"992","HOPL.US BROMUS HORDEACEUS"
"993","HOPL.US BROMUS HORDEACEUS"
"994","HOPL.US BROMUS HORDEACEUS"
"995","HOPL.US BROMUS HORDEACEUS"
"996","HOPL.US BROMUS HORDEACEUS"
"997","HOPL.US BROMUS HORDEACEUS"
"998","HOPL.US BROMUS HORDEACEUS"
"999","HOPL.US BROMUS HORDEACEUS"
"1000","HOPL.US BROMUS HORDEACEUS"
"1001","HOPL.US BROMUS HORDEACEUS"
"1002","HOPL.US BROMUS HORDEACEUS"
"1003","HOPL.US BROMUS HORDEACEUS"
"1004","HOPL.US BROMUS HORDEACEUS"
"1005","HOPL.US BROMUS HORDEACEUS"
"1006","HOPL.US BROMUS STERILIS"
"1007","HOPL.US BROMUS STERILIS"
"1008","HOPL.US BROMUS STERILIS"
"1009","HOPL.US BROMUS STERILIS"
"1010","HOPL.US BROMUS STERILIS"
"1011","HOPL.US BROMUS STERILIS"
"1012","HOPL.US BROMUS STERILIS"
"1013","HOPL.US BROMUS STERILIS"
"1014","HOPL.US BROMUS STERILIS"
"1015","HOPL.US BROMUS STERILIS"
"1016","HOPL.US BROMUS STERILIS"
"1017","HOPL.US CYNOSURUS ECHINATUS"
"1018","HOPL.US CYNOSURUS ECHINATUS"
"1019","HOPL.US CYNOSURUS ECHINATUS"
"1020","HOPL.US CYNOSURUS ECHINATUS"
"1021","HOPL.US CYNOSURUS ECHINATUS"
"1022","HOPL.US ELYMUS GLAUCUS"
"1023","HOPL.US ELYMUS GLAUCUS"
"1024","HOPL.US VULPIA MYUROS"
"1025","HOPL.US LINANTHUS CILIATUS"
"1026","HOPL.US LINANTHUS PARVIFLORUS"
"1027","HOPL.US CRATAEGUS SP."
"1028","JENA.DE ACHILLEA MILLEFOLIUM"
"1029","JENA.DE ACHILLEA MILLEFOLIUM"
"1030","JENA.DE ACHILLEA MILLEFOLIUM"
"1031","JENA.DE ACHILLEA MILLEFOLIUM"
"1032","JENA.DE BELLIS PERENNIS"
"1033","JENA.DE BELLIS PERENNIS"
"1034","JENA.DE BELLIS PERENNIS"
"1035","JENA.DE BELLIS PERENNIS"
"1036","JENA.DE BELLIS PERENNIS"
"1037","JENA.DE CREPIS BIENNIS"
"1038","JENA.DE CREPIS BIENNIS"
"1039","JENA.DE CREPIS BIENNIS"
"1040","JENA.DE CREPIS BIENNIS"
"1041","JENA.DE CREPIS BIENNIS"
"1042","JENA.DE CREPIS BIENNIS"
"1043","JENA.DE CREPIS BIENNIS"
"1044","JENA.DE CREPIS BIENNIS"
"1045","JENA.DE CREPIS BIENNIS"
"1046","JENA.DE CREPIS BIENNIS"
"1047","JENA.DE CREPIS BIENNIS"
"1048","JENA.DE CREPIS BIENNIS"
"1049","JENA.DE CREPIS BIENNIS"
"1050","JENA.DE CREPIS BIENNIS"
"1051","JENA.DE CREPIS BIENNIS"
"1052","JENA.DE TARAXACUM CAMPYLODES"
"1053","JENA.DE TARAXACUM CAMPYLODES"
"1054","JENA.DE TARAXACUM CAMPYLODES"
"1055","JENA.DE TARAXACUM CAMPYLODES"
"1056","JENA.DE TARAXACUM CAMPYLODES"
"1057","JENA.DE TARAXACUM CAMPYLODES"
"1058","JENA.DE TARAXACUM CAMPYLODES"
"1059","JENA.DE TARAXACUM CAMPYLODES"
"1060","JENA.DE TARAXACUM CAMPYLODES"
"1061","JENA.DE TARAXACUM CAMPYLODES"
"1062","JENA.DE TARAXACUM CAMPYLODES"
"1063","JENA.DE TARAXACUM CAMPYLODES"
"1064","JENA.DE TARAXACUM CAMPYLODES"
"1065","JENA.DE TARAXACUM CAMPYLODES"
"1066","JENA.DE TARAXACUM CAMPYLODES"
"1067","JENA.DE TARAXACUM CAMPYLODES"
"1068","JENA.DE TARAXACUM CAMPYLODES"
"1069","JENA.DE TARAXACUM CAMPYLODES"
"1070","JENA.DE TARAXACUM CAMPYLODES"
"1071","JENA.DE TARAXACUM CAMPYLODES"
"1072","JENA.DE TARAXACUM CAMPYLODES"
"1073","JENA.DE TARAXACUM CAMPYLODES"
"1074","JENA.DE TARAXACUM CAMPYLODES"
"1075","JENA.DE TARAXACUM CAMPYLODES"
"1076","JENA.DE CERASTIUM FONTANUM"
"1077","JENA.DE CERASTIUM FONTANUM"
"1078","JENA.DE CERASTIUM FONTANUM"
"1079","JENA.DE CERASTIUM FONTANUM"
"1080","JENA.DE CERASTIUM FONTANUM"
"1081","JENA.DE CERASTIUM FONTANUM"
"1082","JENA.DE CERASTIUM FONTANUM"
"1083","JENA.DE CERASTIUM FONTANUM"
"1084","JENA.DE CERASTIUM FONTANUM"
"1085","JENA.DE CERASTIUM FONTANUM"
"1086","JENA.DE CERASTIUM FONTANUM"
"1087","JENA.DE CERASTIUM FONTANUM"
"1088","JENA.DE CERASTIUM FONTANUM"
